Source,Target,Label,Type,Context,Source_Document,Weight,Chapter,Book_Vol,Description
brandybucks of buck-land,daddy twofoot,ORGANIZATION-PERSON,CO_OCCURRENCE,"in Daddy Twofoot (the Gaffer's next-door neighbour), 'if they live on the wrong side of the Brandywine River, and right agin the Old Forest. That's a dark bad place, if half the tales be true.' 'You're right, Dad!' said the Gaffer. 'Not that the Brandybucks of Buck-land live _in_ the",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,1,1,[N/A]
miss primula brandybuck,old took,PERSON-PERSON,CO_OCCURRENCE,"he married poor Miss Primula Brandybuck. She was our Mr. Bilbo's first cousin on the mother's side (her mother being the youngest of the Old Took's daughters); and Mr. Drogo was his second cousin. So Mr. Frodo is his first _and_ second cousin, once removed either way, as the saying",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,5,1,1,[N/A]
brandybuck,old took,LOCATION-PERSON,CO_OCCURRENCE,"of fact I'm a Brandybuck, Meriadoc Brandybuck, though most people call me just Merry.' 'And I'm a Took, Peregrin Took, but I'm generally called Pippin, or even Pip.' 'Hm, but you _are_ hasty folk, I see,' said Treebeard. 'I am honoured by your confidence; but you should not be too",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,18,1,1,[N/A]
old master gorbadoc,old took,PERSON-PERSON,CO_OCCURRENCE,"the youngest of the Old Took's daughters); and Mr. Drogo was his second cousin. So Mr. Frodo is his first _and_ second cousin, once removed either way, as the saying is, if you follow me. And Mr. Drogo was staying at Brandy Hall with his father-in-law, old Master Gorbadoc, as",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,1,1,[N/A]
old gorbadoc,old noakes,PERSON-PERSON,CO_OCCURRENCE,"his vittles, and old Gorbadoc keeping a mighty generous table); and he went out _boating_on the Brandywine River; and he and his wife were drownded, and poor Mr. Frodo only a child and all. ' 'I've heard they went on the water after dinner in the moonlight,' said Old Noakes;",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,1,1,1,[N/A]
chubbs,grubbs,ORGANIZATION-PERSON,CO_OCCURRENCE,"in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted an elderly hobbit from the back of the pavilion. His",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,13,1,1,[N/A]
bolgers,brockhouses,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
bolgers,burrowses,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,11,1,1,[N/A]
bolgers,chubbs,ORGANIZATION-ORGANIZATION,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,10,1,1,[N/A]
bolgers,grubbs,ORGANIZATION-PERSON,CO_OCCURRENCE,"waistcoat. They could all see him standing, waving one hand in the air, the other was in his trouser-pocket. _My dear Bagginses and Boffins,_ he began again; _and my dear Tooks and Brandybucks, and Grubbs, and Chubbs, and Burrowses, and Hornblowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots._ 'ProudFEET!' shouted",C:\Coding\LOTR-Extractor\LOTR_Text\01 - The Fellowship Of The Ring.txt,8,1,1,[N/A]
